"Source","Target","Weights"
"line_1","line_10",0.461517471119246
"line_1","line_11",-0.288700231431638
"line_1","line_12",0.642530186996718
"line_1","line_13",-0.0937947928769024
"line_1","line_14",0.413927628998199
"line_1","line_15",0.243848457464375
"line_1","line_16",0.170797183395985
"line_1","line_17",0.320456118502891
"line_1","line_18",0.160224903870154
"line_1","line_19",0.110397140205726
"line_1","line_2",0.139426442530047
"line_1","line_20",0.05551846682629
"line_1","line_21",0.145866079859332
"line_1","line_22",0.435440869277153
"line_1","line_23",0.254076318134044
"line_1","line_24",0.28675127751595
"line_1","line_25",0.220653975376788
"line_1","line_26",0.305938875072271
"line_1","line_27",0.137282966046384
"line_1","line_28",0.0801107318391041
"line_1","line_29",0.151040125850332
"line_1","line_3",0.400312111827028
"line_1","line_30",0.473037280247033
"line_1","line_31",0.103625346493263
"line_1","line_32",0.050634836004354
"line_1","line_33",0.096018274309464
"line_1","line_34",0.203200761721234
"line_1","line_35",0.0809955049850397
"line_1","line_36",-0.0477600683850629
"line_1","line_37",0.343364613627499
"line_1","line_4",0.721731887191056
"line_1","line_5",0.765916112722695
"line_1","line_6",0.700393692031545
"line_1","line_7",0.275426950945861
"line_1","line_8",0.387874466860146
"line_1","line_9",0.379159655857889
"line_10","line_11",-0.484092510620565
"line_10","line_12",0.403300282301705
"line_10","line_13",-0.0947783454748475
"line_10","line_14",0.345410989079409
"line_10","line_15",0.246088518103359
"line_10","line_16",0.491814147422355
"line_10","line_17",0.441008962704601
"line_10","line_18",0.513771341081417
"line_10","line_19",0.175241866995166
"line_10","line_2",0.140380519909148
"line_10","line_20",-0.0870383159827059
"line_10","line_21",0.388115099784198
"line_10","line_22",0.369812271163681
"line_10","line_23",0.45748738876305
"line_10","line_24",0.380119271874862
"line_10","line_25",0.145891983857355
"line_10","line_26",0.440102240067574
"line_10","line_27",0.119763459228255
"line_10","line_28",0.235340205887926
"line_10","line_29",0.265204409252248
"line_10","line_3",0.349360531760049
"line_10","line_30",0.989927716885766
"line_10","line_31",0.203282444225021
"line_10","line_32",-0.00749967089423473
"line_10","line_33",0.291241868272762
"line_10","line_34",0.272514571599416
"line_10","line_35",0.0700382281263538
"line_10","line_36",-0.0716669407791717
"line_10","line_37",0.393090047460297
"line_10","line_4",0.363619408453808
"line_10","line_5",0.382698940788247
"line_10","line_6",0.41868789566596
"line_10","line_7",0.177937546332104
"line_10","line_8",0.354416568927619
"line_10","line_9",0.320447315022571
"line_11","line_12",-0.268269142848148
"line_11","line_13",0.101347223450816
"line_11","line_14",-0.358465342043106
"line_11","line_15",-0.0883291177873287
"line_11","line_16",-0.425251164376322
"line_11","line_17",-0.358134128627055
"line_11","line_18",-0.437005084787883
"line_11","line_19",-0.0421977673677122
"line_11","line_2",-0.20521029842826
"line_11","line_20",0.157472826588496
"line_11","line_21",-0.391770154119285
"line_11","line_22",-0.233583371014777
"line_11","line_23",-0.317568462351317
"line_11","line_24",-0.264358102747242
"line_11","line_25",0.0212780790592386
"line_11","line_26",-0.630190977649405
"line_11","line_27",-0.286341024151678
"line_11","line_28",-0.248475797166024
"line_11","line_29",-0.34788267828551
"line_11","line_3",-0.342329471920709
